outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
force_abort,,67.19639955313117,1,16.39328759332622,1076,2.149999999999985,0,vision,False
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
timeout,,16.99330153746531,1,90.21666381221509,9000,17.998000000000903,1,vision,False
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,47.347595494444285,1,12.365446402014054,928,1.8540000000000014,2,vision,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
success,3.399999999999847,9.199709163729164,1,26.845172945622405,1727,3.4519999999998414,3,vision,True
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
force_abort,,36.08283328183817,1,24.199090717038477,1714,3.4259999999998443,4,vision,False
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,33.06099679315282,1,24.04861464141051,1943,3.883999999999794,5,vision,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
force_abort,,36.67680623092221,1,17.630802507490895,1352,2.701999999999924,6,vision,False
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
success,5.031999999999668,19.506160698862878,1,40.88852050291791,2543,5.083999999999662,7,vision,True
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
success,4.3179999999997465,14.416942079115014,1,26.34027226009215,2186,4.369999999999741,8,vision,True
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,53.64176557951228,1,17.61321721788668,1571,3.139999999999876,9,vision,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,7.341999999999413,21.958486853689703,1,36.011102952947304,3698,7.393999999999408,10,vision,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
success,2.319999999999966,8.816307208634692,1,13.00922540859343,1187,2.3719999999999604,11,vision,True
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
success,4.219999999999757,22.982181079701906,1,37.49520601118071,2137,4.2719999999997516,12,vision,True
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,32.540888750352146,1,10.722925197668697,1158,2.3139999999999668,13,vision,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,5.265999999999642,26.762529221128307,1,40.87269883439797,2660,5.317999999999636,14,vision,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
success,6.491999999999507,17.60728874587503,1,43.4108127687211,3273,6.543999999999501,15,vision,True
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
success,4.295999999999749,20.499028945109462,1,55.86612692925525,2175,4.347999999999743,16,vision,True
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,41.229975538463734,1,8.95870940170909,606,1.2100000000000009,17,vision,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
timeout,,11.537611598519861,1,81.32081969432099,9000,17.998000000000903,18,vision,False
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
success,9.449999999999825,11.473518784641245,1,102.74521559395855,4751,9.499999999999842,19,vision,True
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
success,9.713999999999913,8.695638309209357,1,55.972097044853065,4883,9.76399999999993,20,vision,True
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
success,5.701999999999594,8.712203533211593,1,21.56372536220475,2878,5.753999999999588,21,vision,True
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
force_abort,,35.62841145331376,1,32.79504044322213,3134,6.265999999999532,22,vision,False
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,38.9114020017652,1,23.834204688912358,2099,4.19599999999976,23,vision,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
force_abort,,30.50827308196475,1,20.696361986055003,1310,2.6179999999999333,24,vision,False
force_abort,,39.23511773481224,1,16.462387818193584,1501,2.999999999999891,25,human_only,False
force_abort,,37.46286727569047,1,17.88311920415022,1494,2.9859999999998927,25,vision,False
success,10.082000000000036,13.886201068960771,1,74.62431285210634,5067,10.132000000000053,26,human_only,True
success,9.980000000000002,8.699138283433642,1,58.101704530541795,5016,10.030000000000019,26,vision,True
force_abort,,34.43952819494776,1,22.814625508857453,2936,5.869999999999576,27,human_only,False
success,6.259999999999533,14.233438444302681,1,52.74445923886239,3157,6.311999999999527,27,vision,True
success,4.065999999999774,8.750690480943142,1,22.42282129723592,2060,4.1179999999997685,28,human_only,True
success,4.265999999999752,16.654560364941517,1,29.092796484862763,2160,4.3179999999997465,28,vision,True
force_abort,,52.5558927282092,1,19.28977540243205,1622,3.2419999999998645,29,human_only,False
force_abort,,32.180905857020655,1,19.516925576194836,1599,3.1959999999998696,29,vision,False
force_abort,,42.00804209389893,1,25.319393349070896,2325,4.64799999999971,30,human_only,False
success,4.905999999999682,11.094759034957606,1,33.47127054914555,2480,4.957999999999676,30,vision,True
success,5.135999999999656,8.683587964068044,1,26.88867664866291,2595,5.187999999999651,31,human_only,True
success,5.229999999999646,8.739589654687064,1,26.867718458325992,2642,5.28199999999964,31,vision,True
force_abort,,32.390906923794894,1,33.959355283219864,2863,5.723999999999592,32,human_only,False
force_abort,,33.70424573113443,1,31.56863108234933,2867,5.731999999999591,32,vision,False
success,6.64399999999949,18.11090978497795,1,58.836775110774845,3349,6.695999999999485,33,human_only,True
success,6.573999999999498,8.78263942811582,1,33.390043337097055,3314,6.625999999999492,33,vision,True
timeout,,19.497967570958327,1,84.1786907972738,9000,17.998000000000903,34,human_only,False
timeout,,19.13294953078963,1,121.94335569528924,9000,17.998000000000903,34,vision,False
success,9.879999999999969,15.258983492197304,1,55.964822545293515,4966,9.929999999999986,35,human_only,True
success,10.104000000000044,15.966952810263551,1,52.92863204343304,5078,10.15400000000006,35,vision,True
force_abort,,34.88701970073266,1,19.241679130315333,2395,4.787999999999695,36,human_only,False
force_abort,,36.41832566626845,1,23.171210450999972,2443,4.883999999999684,36,vision,False
timeout,,14.553959167212033,1,99.34256543620653,9000,17.998000000000903,37,human_only,False
success,11.714000000000581,8.664829678798773,1,59.00538045639448,5883,11.764000000000598,37,vision,True
force_abort,,37.32171892014381,1,9.167732618603694,1233,2.4639999999999502,38,human_only,False
success,5.485999999999618,19.70784933138566,1,57.934994750302636,2770,5.537999999999612,38,vision,True
success,7.475999999999399,20.467956424600366,1,66.70531820471396,3765,7.527999999999393,39,human_only,True
